title,doi,pmid,pmcid,journal,issn,publisher,container_title,first_author,publication_date,publication_tier,paper_url,accession,repository,dataset_url,downloadable,download_status,total_size_bytes,file_count,file_manifest,species,is_human,cancer_type_raw,cancer_type,cancer_subtype,tissue,patient_count,sample_count,section_count,cell_count,gene_panel_size,fresh_frozen_or_ffpe,xenium_panel,xenium_role,xenium_reason,paired_scrna,paired_snrna,paired_histology,paired_protein,paired_clinical,foundation_model_related,model_name,model_task,training_sample_count,training_cell_count,model_code_url,model_weights_url,training_data_public,evidence,evidence_text,confidence_score,manual_review_required,source_updated_at,first_seen_at,last_checked_at,source
SpotClean adjusts for spot swapping in spatial transcriptomics data.,,,,,,,,,,,,S-EPMC9142522,BioStudies,https://www.ebi.ac.uk/biostudies/studies/S-EPMC9142522,,,,0,[],,False,,,,,,,,,,,,mentioned_only,Xenium is not substantively described,False,False,False,False,False,False,,,,,,,,[],,0.2,True,,2026-07-17T05:46:42.738135Z,2026-07-17T05:46:42.738136Z,biostudies
Spatial transcriptomics reveals substantial heterogeneity in triple-negative breast cancer with potential clinical implications.,,,,,,,,,,,,S-EPMC11599601,BioStudies,https://www.ebi.ac.uk/biostudies/studies/S-EPMC11599601,,,,0,[],,False,,,,,,,,,,,,mentioned_only,Xenium is not substantively described,False,False,False,False,False,False,,,,,,,,[],,0.2,True,,2026-07-17T05:46:42.738124Z,2026-07-17T05:46:42.738125Z,biostudies
spRefine Denoises and Imputes Spatial Transcriptomics with a Reference-Free Framework Powered by Genomic Language Model.,,,,,,,,,,,,S-EPMC12236840,BioStudies,https://www.ebi.ac.uk/biostudies/studies/S-EPMC12236840,,,,0,[],,False,,,,,,,,,,,,mentioned_only,Xenium is not substantively described,False,False,False,False,False,False,,,,,,,,[],,0.2,True,,2026-07-17T05:46:42.738113Z,2026-07-17T05:46:42.738113Z,biostudies
Morphological Features Extracted by AI Associated with Spatial Transcriptomics in Prostate Cancer.,,,,,,,,,,,,S-EPMC8507756,BioStudies,https://www.ebi.ac.uk/biostudies/studies/S-EPMC8507756,,,,0,[],,False,,,,,,,,,,,,mentioned_only,Xenium is not substantively described,False,False,False,False,False,False,,,,,,,,[],,0.2,True,,2026-07-17T05:46:42.738106Z,2026-07-17T05:46:42.738107Z,biostudies
Statistical identification of cell type-specific spatially variable genes in spatial transcriptomics.,,,,,,,,,,,,S-EPMC11770176,BioStudies,https://www.ebi.ac.uk/biostudies/studies/S-EPMC11770176,,,,0,[],,False,,,,,,,,,,,,mentioned_only,Xenium is not substantively described,False,False,False,False,False,False,,,,,,,,[],,0.2,True,,2026-07-17T05:46:42.738099Z,2026-07-17T05:46:42.738100Z,biostudies
"Embryo-scale, single-cell spatial transcriptomics.",,,,,,,,,,,,S-EPMC9118175,BioStudies,https://www.ebi.ac.uk/biostudies/studies/S-EPMC9118175,,,,0,[],,False,,,,,,,,,,,,mentioned_only,Xenium is not substantively described,False,False,False,False,False,False,,,,,,,,[],,0.2,True,,2026-07-17T05:46:42.738093Z,2026-07-17T05:46:42.738093Z,biostudies
VARGG: a deep learning framework advancing precise spatial domain identification and cellular heterogeneity analysis in spatial transcriptomics.,,,,,,,,,,,,S-EPMC12640549,BioStudies,https://www.ebi.ac.uk/biostudies/studies/S-EPMC12640549,,,,0,[],,False,,,,,,,,,,,,mentioned_only,Xenium is not substantively described,False,False,False,False,False,False,,,,,,,,[],,0.2,True,,2026-07-17T05:46:42.738086Z,2026-07-17T05:46:42.738086Z,biostudies
Cell type-specific inference of differential expression in spatial transcriptomics.,,,,,,,,,,,,S-EPMC10463137,BioStudies,https://www.ebi.ac.uk/biostudies/studies/S-EPMC10463137,,,,0,[],,False,,,,,,,,,,,,mentioned_only,Xenium is not substantively described,False,False,False,False,False,False,,,,,,,,[],,0.2,True,,2026-07-17T05:46:42.738079Z,2026-07-17T05:46:42.738079Z,biostudies
Modeling zero inflation is not necessary for spatial transcriptomics.,,,,,,,,,,,,S-EPMC9116027,BioStudies,https://www.ebi.ac.uk/biostudies/studies/S-EPMC9116027,,,,0,[],,False,,,,,,,,,,,,mentioned_only,Xenium is not substantively described,False,False,False,False,False,False,,,,,,,,[],,0.2,True,,2026-07-17T05:46:42.738070Z,2026-07-17T05:46:42.738070Z,biostudies
Single-Cell and Spatial Transcriptomics Reveal a Tumor-Associated Macrophage Subpopulation that Mediates Prostate Cancer Progression and Metastasis.,,,,,,,,,,,,S-EPMC12221797,BioStudies,https://www.ebi.ac.uk/biostudies/studies/S-EPMC12221797,,,,0,[],,False,,,,,,,,,,,,mentioned_only,Xenium is not substantively described,False,False,False,False,False,False,,,,,,,,[],,0.2,True,,2026-07-17T05:46:42.738063Z,2026-07-17T05:46:42.738063Z,biostudies
Multiscale Cell-Cell Interactive Spatial Transcriptomics Analysis.,,,,,,,,,,,,S-EPMC12667549,BioStudies,https://www.ebi.ac.uk/biostudies/studies/S-EPMC12667549,,,,0,[],,False,,,,,,,,,,,,mentioned_only,Xenium is not substantively described,False,False,False,False,False,False,,,,,,,,[],,0.2,True,,2026-07-17T05:46:42.738052Z,2026-07-17T05:46:42.738055Z,biostudies
iIMPACT: integrating image and molecular profiles for spatial transcriptomics analysis.,,,,,,,,,,,,S-EPMC11514947,BioStudies,https://www.ebi.ac.uk/biostudies/studies/S-EPMC11514947,,,,0,[],,False,,,,,,,,,,,,mentioned_only,Xenium is not substantively described,False,False,False,False,False,False,,,,,,,,[],,0.2,True,,2026-07-17T05:46:42.738045Z,2026-07-17T05:46:42.738046Z,biostudies
Single-cell and spatial transcriptomics reveal P4HA2-mediated radiotherapy resistance mechanisms in breast cancer.,,,,,,,,,,,,S-EPMC12712805,BioStudies,https://www.ebi.ac.uk/biostudies/studies/S-EPMC12712805,,,,0,[],,False,,,,,,,,,,,,mentioned_only,Xenium is not substantively described,False,False,False,False,False,False,,,,,,,,[],,0.2,True,,2026-07-17T05:46:42.738038Z,2026-07-17T05:46:42.738039Z,biostudies
"Combining Spatial Transcriptomics, Pseudotime, and Machine Learning Enables Discovery of Biomarkers for Prostate Cancer.",,,,,,,,,,,,S-EPMC12214874,BioStudies,https://www.ebi.ac.uk/biostudies/studies/S-EPMC12214874,,,,0,[],,False,,,,,,,,,,,,mentioned_only,Xenium is not substantively described,False,False,False,False,False,False,,,,,,,,[],,0.2,True,,2026-07-17T05:46:42.738031Z,2026-07-17T05:46:42.738032Z,biostudies
